SDPA-GMP start at Mon May 26 13:39:28 2025
data      is input_sdpa.dat
parameter is ./param.sdpa
out       is output_sdpa2.dat
DENSE computation
   mu      thetaP  thetaD  objP      objD      alphaP  alphaD  beta 
100 4.1e-46 3.7e-100 2.3e-67 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
101 1.2e-46 2.8e-100 7.3e-68 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
102 3.7e-47 2.3e-100 1.2e-67 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
103 1.1e-47 2.3e-100 5.9e-68 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
104 3.4e-48 2.3e-100 2.5e-68 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
105 1.0e-48 2.4e-100 1.9e-68 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
106 3.0e-49 2.3e-100 6.1e-69 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
107 9.1e-50 1.4e-100 2.7e-69 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
108 2.7e-50 2.8e-100 6.9e-69 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
109 8.1e-51 2.8e-100 2.2e-68 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
110 2.4e-51 2.3e-100 7.1e-68 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
111 7.3e-52 2.3e-100 2.5e-67 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
112 2.2e-52 2.3e-100 8.0e-67 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
113 6.6e-53 3.3e-100 2.6e-66 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
114 2.0e-53 2.6e-100 9.0e-66 +1.26e-17 +1.26e-17 1.0e+00 1.0e+00 3.00e-01
